Document_Title,Authors,Author_Affiliations,Publication_Title,Date_Added_To_Xplore,Publication_Year,Abstract,Author_Keywords,IEEE_Terms,INSPEC_Controlled_Terms,Online_Date,Publisher
Smart Entrance System Using Computer Vision at Corporate Environment,"S. M. A. Khan,  M. Nazmul Islam Shuzan,  M. H. Chowdhury,  M. Maksud Alam","Electrical & Computer Engineering, North South University, Dhaka, Bangladesh,  Electrical & Computer Engineering, North South University, Dhaka, Bangladesh,  Electrical & Computer Engineering, North South University, Dhaka, Bangladesh,  Electrical & Computer Engineering, North South University, Dhaka, Bangladesh","2019 IEEE International Conference on Electrical, Computer and Communication Technologies (ICECCT)",17-Oct-19,2019,"In this paper, a system has been proposed that can be used to a corporate office to log in their employees. Under this system, process involves, face detection using Viola-Jones Algorithm. The alignment of the face is corrected if there has seen any tortuous neck of an employee by applying Kazemi algorithm. The filtering process is being used to account for the fact that male employees might have different mustache and beard on their face on different days. So filtering is added to the picture to detect how he may look if they have mustache or beard. As a result, the risk of a faulty detection regardless of different facial appearance is minimized. These pictures are then added to database. The face is recognized by using Eignefaces which is easier and quicker in computing an employee under smart entrance system. Under conventional system, it is known that corporate employees get entrance by card punching which is sometimes seen to be fraudulent. But with the innovation and enactment of smart entrance system, which evolves face recognition, these illegitimate tasks can be restrained.","[MATLAB, Entrance System, Corporate, Computer Vision, Eigenface, Viola-Jones, Kazemi, Filters, Face Detection, Face Recognition]","[Face, Face recognition, Face detection, Databases, Filtering, Hair]","[business data processing, computer vision, face recognition, minimisation, object detection, personnel]",17-Oct-19,IEEE
An Extended Immune-Based Model for Computer Forensics,J. Ding,"School of Information & Technology, Jiangxi University of Finance and Economics, NanChang, China",2008 International Conference on Computer Science and Software Engineering,22-Dec-08,2008,"An extended immune based model of network surveillance and dynamic computer forensics is presented. Two kinds of cells including lymphocyte and forensic cell are defined. The proper time for forensic cell to catch evidence is given out. And the digital watermark method of encapsulation and preservation for digital evidences is introduced. The experiments show that the model has the features of self-adaption, self-learning, distribution, and real time.","[artificial immune systemt, dynamic, computer forensics, network surveillance]","[Forensics, Computer networks, Surveillance, Computerized monitoring, Aging, Encapsulation, Computer hacking, Computer science, Software engineering, Finance]","[artificial immune systems, watermarking]",22-Dec-08,IEEE
Using cybersecurity as an engineering education approach on computer engineering to learn about Smart Grid technologies and the next generation of electric power systems,"D. Navarro,  J. C. Méndez,  K. Berríos,  E. Ortiz-Rivera,  E. Arzuaga","Electrical and Computer Engineering Dept., University of Puerto Rico at Mayagüez,  Electrical and Computer Engineering Dept., University of Puerto Rico at Mayagüez,  Electrical and Computer Engineering Dept., University of Puerto Rico at Mayagüez,  Electrical and Computer Engineering Dept., University of Puerto Rico at Mayagüez,  Electrical and Computer Engineering Dept., University of Puerto Rico at Mayagüez",2014 IEEE Frontiers in Education Conference (FIE) Proceedings,19-Feb-15,2014,"The security of our country is constantly being threatened. In order to ensure protection for our society, it is necessary to detect vulnerabilities in critical systems before terrorists or other adversaries are able to exploit them. Part of these vulnerabilities could be solved by improving the effectiveness of certain systems, for example, the electric power system. This system, also known as an electrical grid, can be dramatically improved by utilizing Smart Grid technologies. These technologies can incorporate a large number of features to the current system, which facilitate the production and distribution of electrical energy from the power plants to the customers. Electric companies usually employ the use of a software called Supervisory Control and Data Acquisition (SCADA) to control this type of systems. The focus of this work is using cybersecurity in Smart Grid systems as a engineering education tool. Students will begin by examining, in a simulated environment with two different machines, the process in which an attacker could potentially penetrate and compromise a computer inside the running SCADA software. The attacker computer has a set of software tools that help in the penetration testing process and the victim computer runs a commercially available SCADA software. These experiments provide computer engineering students with a hands on experience in Smart Grid cybersecurity-related issues.","[SCADA systems, Smart grids, Power grids, Computer security, Computer hacking, Computer networks, Invasive software, Information security, Power system security, Engineering education]","[Smart grids, Computers, Software, Computer hacking]","[power engineering education, power system security, SCADA systems, security of data, smart power grids]",19-Feb-15,IEEE
Distributing SoC simulations over a network of computers,"J. Riihimaki,  V. Helminen,  K. Kuusilinna,  T. D. Hamalainen","Institute of Digital and Computer Systems, Tampere University of Technology, Tampere, Finland,  Institute of Digital and Computer Systems, Tampere University of Technology, Tampere, Finland,  Institute of Digital and Computer Systems, Tampere University of Technology, Tampere, Finland,  Institute of Digital and Computer Systems, Tampere University of Technology, Tampere, Finland","Euromicro Symposium on Digital System Design, 2003. Proceedings.",15-Sep-03,2003,"This paper presents parallelization of System-on-Chip (SoC) simulation over a network of computers. A custom C-language-based SoC exploration and simulation tool, Discrete Time Network Simulator (DTNS), is used to examine the problem. Parallelization is implemented with either CORBA or TCP/IP sockets. The distributed DTNS architecture facilitates the analysis of computation requirements for reasonable distribution. The minimum execution time per distributed process for the parallelization to be profitable is 1.2ms with CORBA and 0.4ms with TCP/IP implementation. These results are based on our networked PCs running the Linux operating system. The same network is used to evaluate this distribution method in case of video encoder SoC simulation.",,"[Computational modeling, Computer simulation, Computer networks, Distributed computing, Disruption tolerant networking, TCPIP, System-on-a-chip, Concurrent computing, Sockets, Computer architecture]","[digital simulation, circuit simulation, system-on-chip, computer networks, transport protocols, distributed object management]",15-Sep-03,IEEE
Introducing security analysis in computer security courses through an electronic voting project,"C. D. Mano,  A. Streigel","Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA,  Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA",Proceedings Frontiers in Education 35th Annual Conference,03-Apr-06,2005,"For courses in computer security, one of the more difficult skills to impart to the students is the ability to conduct methodical security analyses of computer systems. One must create a system that is sufficiently complex to generate non-trivial security issues while avoiding completely overwhelming the students. To that end, we have developed a new course project based on the design and evaluation of physical electronic voting systems, a problem area that is sufficiently complex, yet relatively easy to understand. In this paper, we will discuss the project with regards to higher level learning objectives (analysis, evaluation) as well as give observations and refinements made through offering the project over multiple years in an upper-division computer security course.","[computer security, course project, e-voting]","[Computer security, Electronic voting, Electronic voting systems, Computer science, Taxonomy, Nominations and elections]","[computer science education, educational courses, government data processing, Internet, security of data]",03-Apr-06,IEEE
Human computer interaction: An approach to mathematics' class learning management,"J. B. Janier,  A. Shafie,  W. F. W. Ahmad","Department of Fundamental and Applied Sciences, Universiti Teknologi Petronas, Perak, Malaysia,  Department of Fundamental and Applied Sciences, Universiti Teknologi Petronas, Perak, Malaysia,  Department of Computer and Information Science, Universiti Teknologi Petronas, Perak, Malaysia",International Conference on Education and e-Learning Innovations,24-Nov-12,2012,"Most students learn from a traditional form of teaching called instructor-led approach where students are passive but with the advancement in technology and the popular use of computer, students can become more active. A survey conducted by teachers showed a topic in the application of integration was found to be the most difficult in Calculus. This topic in the application of integration was constructed in modular interactive courseware form using the Macromedia Toolbook. Using the developed courseware in the application of integration, the traditional form of teaching and assessing students was upgraded to a human computer interaction (HCI) where the computer was used as a tool to learn and evaluate topics. Learning the topics through the use of computers by the students impacted to human computer interaction (HCI) which can be described as a human and computer trying to communicate with each other using a restricted interface which can be suitable for big classes. The process of developing the courseware adapted the Hix and Hartzon model. To assist the engineering students in understanding the concepts in the application of integration, Van Hiele's Theory was used as a framework for learners to acquire knowledge. Fifty engineering students participated in the initial study and they were divided into two groups, A and B the experimental and the control respectively. The test re-test method was used to gather the necessary data and the results showed that the use of human computer interaction (HCI) as a learning management approach can reduce teacher's hours of face to face interaction with students, students were more independent in learning the topics, and the students' performance from the experimental group performed as well as the students in the control group.","[courseware, multimedia, interactive, human computer interaction, independent, learning management]","[Courseware, Human computer interaction, Computers, Mathematics, Multimedia communication, Visualization]","[courseware, engineering education, human computer interaction, mathematics computing, teaching]",24-Nov-12,IEEE
Improving Mu Rhythm Brain-Computer Interface Performance by Providing Specific Instructions for Control,"V. Corbit,  L. A. Gabel,  Y. -C. Yu","Neuroscience Program, Lafayette College, Easton, PA, USA,  Department of Psychology, Neuroscience Program, Lafayette College, Easton, PA, USA,  Department of Electrical and Computer Engineering, Lafayette College, Easton, PA, USA",2013 39th Annual Northeast Bioengineering Conference,05-Aug-13,2013,"Brain-computer interfaces (BCIs) are used to aid persons who have limited or no natural motor control. The mu rhythm is often used a neural control signal because it can be voluntarily modulated using motor imagery or relaxation. Practically using mu-rhythm BCIs presents issues involving long training times, variable accuracy, and even the exclusion of some participants due to lack of control. This study used a bilateral mu-based BCI to investigate whether giving participants specific instructions on how to modulate their mu rhythm would increase mu rhythm control as compared to the usual vague instructions given.","[Brain-computer interface, EEG, µ-rhythm, signal processing]","[Rhythm, Brain-computer interfaces, Computers, Training, Electroencephalography, Modulation]","[brain-computer interfaces, computer based training, electroencephalography, handicapped aids, medical control systems, medical signal processing]",05-Aug-13,IEEE
"Empirical Study of Face-to-Face, Hybrid, and Online Instructional Delivery of Computer Literacy Courses in 2 and 4 Year Colleges","C. Coutras,  M. Kousoulis","Department of Computer Science, Montclair State University, Monclair, NJ,  Department of Information Technology, Bergen Community College, Paramus, NJ",2015 International Conference on Computational Science and Computational Intelligence (CSCI),03-Mar-16,2015,"Online and Hybrid Education are now a reality in most Colleges and Universities. And they span all levels, from undergraduate to graduate education. In this paper, we present our preliminary data and thoughts on the effectiveness of these alternative methods for teaching Computer Literacy courses in a 2 year and 4 year institutions.","[Computing Education, Computer Literacy]","[Education, Computers, Computer science, Information technology, Market research, Computational modeling, Writing]","[computer aided instruction, computer literacy, educational courses, educational institutions, further education, teaching]",03-Mar-16,IEEE
"Topical tapestry: Weaving threads of parallel programming, computer graphics, and artificial intelligence into undergraduate CS courses",J. Wolfer,"Computer Science, Indiana University South Bend, South Bend, IN, USA",2014 IEEE Global Engineering Education Conference (EDUCON),05-Jun-14,2014,"Traditionally, topics such as parallel computing, computer graphics, and artificial intelligence have been taught as stand-alone courses in the computing curriculum. Often these are elective courses, limiting the material to the subset of students choosing to take the course. Recently there has been movement to distribute topics across the curriculum in order to ensure that all graduates have been exposed to concepts such as parallel computing. This work describes one approach to threading topics from AI, graphics, and parallel processing into coursework starting early in a student's program without substantially altering the basic course objectives. This, in turn, allows the student to sample topics early enough to make informed decisions when selecting electives.","[pedagogy, artificial intelligence, computer graphics, parallel computing, instructional approaches]","[Artificial intelligence, Parallel processing, Graphics processing units, Computer graphics, Computers, Arrays]","[artificial intelligence, computer graphics, computer science education, educational courses, further education, parallel programming]",05-Jun-14,IEEE
Human-computer interaction system based on binocular stereo vision,"L. Guangjun,  H. Yueming,  L. Zhifu,  W. Xuedong","College of Automation Science and Engineering, South China University of Technology, Guangzhou, China,  College of Automation Science and Engineering, South China University of Technology, Guangzhou, China,  College of Automation Science and Engineering, South China University of Technology, Guangzhou, China,  Department of Criminal Technology College of Guangdong Police, Guangzhou, China",Proceedings of the 31st Chinese Control Conference,24-Dec-12,2012,"Binocular stereo vision is an important aspect in computer vision field. In this paper, it is made a systematic research, which is the system of human-computer interaction based on bincular stereo vision. In order to improve the anti-interference performance, the hardware system worked in the condition of near infrared,  to inhance the real time operation, the level of difficulty with stereo matching algorithm is simplified through special hardware design,  based on the ICP algorithm for tracking tools, the flexibility and convenience of system are increasingly. The application in surgical navigation system is discussed. In the prototype system, how to unified virtual coordinates and real coordinates has been presented,  the problem on how to tracking patient undergoing in real-time is solved. The result has higher precision and practicability, which provide a good platform for virtual reality.","[Binocular Stereo Vision, Human-computer Interaction, Tracking, Near-infrared, Iterative Closest Point Algorithm, Surgical Navigation]","[Stereo vision, Iterative closest point algorithm, Human computer interaction, Educational institutions, Hardware, Surgery, Navigation]","[computer vision, human computer interaction, medical image processing, stereo image processing, surgery, virtual reality, visual perception]",24-Dec-12,IEEE
Identity authentication system using face recognition techniques in human-computer interaction,"F. Huang,  H. Bian","School of Automation Engineering, Shanghai University of Electric Power, 200090, China,  School of Electronic and Information Engineering, Shanghai University of Electric Power, 200090, China",Proceedings of the 32nd Chinese Control Conference,21-Oct-13,2013,"In human-oriented intelligent human-computer interaction, the key context information can be provided by computer vision techniques, such as user identity, position and action. To sufficiently support user vision information, the first problem is human face detection, localization, and recognition. In this paper a robust identity authentication system using face recognition techniques under uncontrolled lighting condition is implemented. To reduce the effects of illumination variation, three preprocessing methods are compared, and Gamma correction, Difference of Gauss filtering (DoG) and contrast equalization are adopted in our system. The original face image is divided into several non-overlapping regions and their corresponding histograms of Local Ternary Pattern (LTP) are extracted as face features. Then an improved AdaBoost method is used to reduce the dimension of feature vector. Final face identity is obtained by the nearest neighbor classification. Experimental results on FERET and CAS-PEAL databases show that the performance of our system is better than that of the Local Binary method when the illumination is changeable.","[Human-computer interaction, face recognition, local ternary patterns, AdaBoost]","[Face recognition, Face, Lighting, Electronic mail, Human computer interaction, Feature extraction, Authentication]","[computer vision, face recognition, filtering theory, Gaussian processes, human computer interaction, learning (artificial intelligence)]",21-Oct-13,IEEE
Modeling Variation of Performance Metric of Distributed Memory Heterogeneous Parallel Computer System Using Recursive Models,"O. E. Oguike,  S. C. Echezona,  M. N. Agu,  D. U. Ebem,  H. O. D. Longe,  O. Abass","Department of Computer Science, University of Nigeria, Nsukka, Enugu, Nigeria,  Department of Computer Science, University of Nigeria, Nsukka, Enugu, Nigeria,  Department of Computer Science, University of Nigeria, Nsukka, Enugu, Nigeria,  Department of Computer Science, University of Nigeria, Nsukka, Enugu, Nigeria,  Department of Computer Sciences, University of Lagos, Lagos, Nigeria,  Department of Computer Sciences, University of Lagos, Lagos, Nigeria","2011 Third International Conference on Computational Intelligence, Modelling & Simulation",14-Nov-11,2011,"In a heterogeneous parallel computer system, the computational power of each of the processors differs from one another. Furthermore, with distributed memory, the capacity of the memory, which is distributed to each of the processors, differs from one another. Using queuing system to describe a distributed memory heterogeneous parallel computer system, each of the heterogeneous processors will have its own heterogeneous queue. The variation of a performance metric of heterogeneous parallel computer system with distributed memory needs to be modeled because it will help designers of parallel computer system to determine the extent of variation of a performance metric. It will also help users to know when to realize minimum variation of a performance metric. This paper models the variation of a performance metric of distributed memory heterogeneous parallel computer system using recursive models.","[heterogeneous parallel computer, distributed memory, parallel computer system, queuing network, variation, recursive models]","[Mathematical model, Computational modeling, Computers, Equations, Program processors, Measurement, Analytical models]","[distributed memory systems, parallel processing, performance evaluation, queueing theory, recursive estimation, storage management]",14-Nov-11,IEEE
An integrated introductory course for computer science and engineering,"A. Parrish,  R. Borie,  D. Cordes,  B. Dixon,  J. Jackson,  R. Pimmel","Departments of Computer Science and Electrical Computer Engineering, University of Alabama, Tuscaloosa, AL, USA,  Departments of Computer Science and Electrical Computer Engineering, University of Alabama, Tuscaloosa, AL, USA,  Departments of Computer Science and Electrical Computer Engineering, University of Alabama, Tuscaloosa, AL, USA,  University of Alabama, Tuscaloosa, AL, US,  NA,  Departments of Computer Science and Electrical Computer Engineering, University of Alabama, Tuscaloosa, AL, USA",FIE'99 Frontiers in Education. 29th Annual Frontiers in Education Conference. Designing the Future of Science and Engineering Education. Conference Proceedings (IEEE Cat. No.99CH37011,06-Aug-02,1999,"This paper reports the results of teaching an introductory course designed for both computer science and computer engineering majors. Both hardware and software development topics were integrated into a single course. Programming assignments involved the simulation of various hardware devices in software,  these assignments were used both to teach programming concepts and to provide a means to reinforce the discussion of hardware concepts. The course also made extensive use of learning and active learning.",,"[Computer science, Hardware, Educational institutions, Design engineering, Education, History, Couplings, Electrical engineering, Logic design, Employment]","[computer science education, educational courses, software engineering, programming]",06-Aug-02,IEEE
Investigation of Appropriate Classification Method for EOG Based Human Computer Interface,"M. L. A. Al-Zubaidi,  S. Aras","Elektrik-Elektronik Mühendisliği, Ondokuz Mayıs Üniversitesi, Samsun, Türkiye,  Elektrik-Elektronik Mühendisliği, Ondokuz Mayıs Üniversitesi, Samsun, Türkiye",2022 30th Signal Processing and Communications Applications Conference (SIU),29-Aug-22,2022,"The reason why real feelings and mood changes can be seen through our eyes is that the eyes provide the most revealing and accurate information of all human communication signs. It is possible to control a human-computer interface by voluntarily moving the eyes, which have an important place in communication. In this study, the appropriate feature and classification methods were investigated to use the Electooculography signs obtained from seven different voluntary eye movements in the human-computer interface. The success of the system is increased by determining the combination that gives the best result from many features by using the sequential forward feature selection method. The developed method reached 93.9% success in the seven-class dataset. The results show that human-computer interface control can be done with high accuracy with voluntary eye movements. Also, the development of a real-time working model is inspiring for work.","[electrooculogram, human computer interface, classification]","[Human computer interaction, Computer interfaces, Electrooculography, Mood, Computational modeling, Signal processing, Feature extraction]","[electro-oculography, eye, feature extraction, human computer interaction, image classification, medical signal processing, pattern classification]",29-Aug-22,IEEE
FlowGames,"J. Santner,  M. Werlberger,  T. Mauthner,  W. Paier,  H. Bischof","Institute for Computer Graphics and Vision, Graz University of Technology, Austria,  Institute for Computer Graphics and Vision, Graz University of Technology, Austria,  Institute for Computer Graphics and Vision, Graz University of Technology, Austria,  Institute for Computer Graphics and Vision, Graz University of Technology, Austria,  Institute for Computer Graphics and Vision, Graz University of Technology, Austria",2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition - Workshops,09-Aug-10,2010,"Computer vision-based interfaces to games hold the promise of rich natural interaction and thus a more realistic gaming experience. Therefore, the video games industry started to develop and market computer vision-based games recently with great success. Due to limited computational resources, they employ mostly simple algorithms such as background subtraction, instead of sophisticated motion estimation or gesture recognition methods. This not only results in a lack of robustness, but also in very limited interaction possibilities and thus reduced gaming experience. In this paper, we show a couple of concepts to control video games based on optical flow. We use a state-of-the-art optical flow algorithm able to be computed densely in real-time on GPUs, which are in fact built-in in nearly every gaming hardware available. Based on the estimated motion, we develop several computer games with increasing complexity: Starting with using the flow field as force acting on moveable objects, we span the spectrum to more sophisticated concepts such as controlling widgets and action recognition.",,"[Games, Computer vision, Motion estimation, Image motion analysis, Computer interfaces, Computer industry, Toy industry, Robustness, Optical coupling, Optical control]","[computational complexity, computer games, computer graphic equipment, computer vision, coprocessors, image sequences, motion estimation, user interfaces]",09-Aug-10,IEEE
Computer Programming Education for Primary School Students,"C. Yongqiang,  W. Xiaojun,  Q. Chengbin","Department of Computer Science and Technology, Tsinghua University, Beijing, China,  Department of Computer Science and Technology, Tsinghua University, Beijing, China,  Department of Computer Science and Technology, Tsinghua University, Beijing, China",2018 13th International Conference on Computer Science & Education (ICCSE),20-Sep-18,2018,"Primary school's programming courses for children are made up of software [1] courses and hardware courses. In the six semester, after summing up the teaching results, we found that the cultivation of computer thinking for primary school students, interest in training, could begin from elementary school. In the course of the lecture, there are many real-life knowledge: RFID cards, radar ranging, smart street lights, intelligent traffic lights, remote control, game programming, etc. While playing, I learned basic physics and mathematics, and learned computer programming knowledge. This paper summarizes the contents of the course and sorts out a set of courseware and experiment contents that are suitable for primary school students to develop computer programming.",[Scratch Arduino Primary school Student Programming],"[Programming profession, Games, Hardware, Education, Image color analysis]","[computer science education, courseware, educational courses, educational institutions, further education, programming, teaching]",20-Sep-18,IEEE
Cultivating creativity (and majors) with computational craft,"S. Reiser,  R. Bruce","Computer Science, UNC Asheville, Asheville, NC, USA,  Computer Science, UNC Asheville, Asheville, NC, USA",IEEE SOUTHEASTCON 2014,10-Nov-14,2014,"According to the US Bureau of Labor and Statistics the job outlook for computer scientists and engineers is stellar for the long term-President Obama and industry leaders encouraged colleges to graduate 10,000 more engineers a year. Computer science and engineering salaries are high, but yet it is unlikely that the number of technology majors will meet the projected demand. Sadly, for many students their first college computer science or engineering course is their last. This is particularly true for women and other under-represented groups. Over the last 20 years, we have tried to increase enrollment and retention by embedding embedded systems throughout our computer science curriculum. This year, we have extended that effort to a general education course that satisfies our campus' art and diversity requirements. Creative Fabrication demonstrates the creativity inherent in computer science and engineering through the implementation of three art projects: 1) an LED enabled sculpture representing disability, 2) a moving sculpture representing disability, and 3) a sculptural assistive technology solution designed for a specific disability. All projects connect technology to differently abled human beings via computational crafting - fabricating aesthetically pleasing and functional works.","[creativity, computer science education, disability, diversity, fabrication]","[Art, Computer science, Fabrication, Three-dimensional displays, Computers, Education, Metals]","[art, computer science education, educational courses]",10-Nov-14,IEEE
A computer assistant instruction system combining CMAC,"Yen Chu Hung,  Kuang Shuo Peng","Department of CSIE, National Chiayi University, Taiwan,  Department of CSIE, National Chiayi University, Taiwan",2009 International Conference on Machine Learning and Cybernetics,25-Aug-09,2009,"This study proposes a system which combines traditional computer assistant instruction and Cerebellar model articulation controller (CMAC) in physical education. According to the experiment which is analyzed by two ways analysis of variance, proposed system can almost excess traditional instruction in physical education. So, the proposed system can improve the efficiency of physical education.","[E-learning, Wiimote, Computer assistant instruction]","[Computer aided instruction, Computer science education, Computer simulation, Machine learning, Brain modeling, Computational modeling, Feedback, Cybernetics, Physics computing, Analysis of variance]","[cerebellar model arithmetic computers, computer aided instruction]",25-Aug-09,IEEE
"A Comparative Approach between Different Computer Vision Tools, Including Commercial and Open-source, for Improving Cultural Image Access and Analysis","J. L. P. Díaz,  A. Dorn,  G. Koch,  Y. Abgaz","Austrian Centre for Digital Humanities and Cultural Heritage, Austrian Academy of Sciences, Vienna, Austria,  Austrian Centre for Digital Humanities and Cultural Heritage, Austrian Academy of Sciences, Vienna, Austria,  AIT Forschungsgesellschaft mbH, Europeana Local AT, Graz, Austria,  Adapt Centre, Dublin City University, Dublin, Irland",2020 10th International Conference on Advanced Computer Information Technologies (ACIT),30-Sep-20,2020,"Digital cultural heritage objects can benefit greatly from the application of Artificial Intelligence such as computer vision based tools to automatically extract valuable information from them. Novel methods and technologies have been used in the last few years to perform image classification, object detection, caption generation, and other techniques on different types of digital objects from different disciplines. In this pilot study, carried out in the context of the Digital Humanities project ChIA, we present an approach for testing different commercial (Clarifai, IBM Watson, Microsoft Cognitive Services, Google Cloud Vision) and open-source (YOLO) computer vision (CV) tools on a set of selected cultural food images from the Europeana collection with regard to producing relevant concepts. The project generally aims at improving access to implicit cultural knowledge contained in images, and increase analysis possibilities for scientific research as well as for content providers and educational purposes. Preliminary results showed that not only quantitative output results are important, but also the quality of concepts generated. Types of digital objects can pose a challenge to CV solutions.","[Artificial Intelligence, Computer Vision, image analysis, cultural heritage]","[Tools, Cultural differences, Painting, Computer vision, Europe, Google, Artificial intelligence]","[computer vision, cultural aspects, digital libraries, history, humanities, image classification, Internet, object detection]",30-Sep-20,IEEE
Paired transitions algorithm of communication links in computer networks based on subnet routing method,"D. A. Perepelkin,  I. Y. Tsyganov","Faculty of Computer Science, Ryazan State Radio Engineering University, RSREU, Russia,  Faculty of Computer Science, Ryazan State Radio Engineering University, RSREU, Russia",2016 5th Mediterranean Conference on Embedded Computing (MECO),01-Aug-16,2016,The majority of modern routing algorithms in computer networks is based on Bellman-Ford and Dijkstra's algorithms. The efforts to calculate these algorithms lead to the complexity O(N3) and O(N2) correspondingly. Here N is the number of communication nodes or routers in computer network. When changing communication links bandwidth in given algorithms total recalculation of routing tables takes place. The increase of computer network size leads to polynomial growth of efforts to perform this operation. This work offers theoretical research of segmented computer network graph model which gave the opportunity to develop the algorithm allowing to reconstruct the tree of network segment best routes on conditions of graph edges weight change.,"[computer networks, adaptive routing, fast rerouting, link protection, node protection, network segment, network traffic]","[Computer networks, Routing, Quality of service, Mathematical model, Bandwidth, Embedded computing, Bars]","[computational complexity, computer networks, telecommunication links, telecommunication network routing, trees (mathematics)]",01-Aug-16,IEEE
Analysis on Information Leakage of Computer Displays via Conducted Emission on Power Line,"W. Huang,  S. Yang,  J. Hu","Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China,  University of Chinese Academy of Sciences, Beijing, China,  Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China","2016 International Symposium on Computer, Consumer and Control (IS3C)",18-Aug-16,2016,"The security problem of screen image leakage from a display unit has become more and more serious with the rapid speed of signal transmission technology. This paper presents a novel investigation on the characteristics of the power line compromising channel. By introducing an echo-based power line model, a measurement system has been developed to draw a preliminary conclusion on the low-passed and frequency selective characteristic for the signal eavesdropping. In order to check the validity of the measurement system, test experiments were carried out to measure the information signal. The measurement system is composed of a coupler, PC and a spectrum receiver based on which we can easily analyze and evaluate the information leakage in radiated disturbance from a PC display in the power line channel.","[Computer, compromising emanations, power line, eavesdropping, screen image]","[Computers, Attenuation, Power cables, Computer displays, Receivers, Power measurement, Dielectric losses]","[carrier transmission on power lines, computer displays, echo, measurement systems, screens (display), video signal processing]",18-Aug-16,IEEE
Routing in hexagonal computer networks: How to present paths by Bloom filters without false positives,"G. Ç. Kayaturan,  A. Vernitski","Mathematical Science Department, University of Essex, Colchester, UK,  Mathematical Science Department, University of Essex, Colchester, UK",2016 8th Computer Science and Electronic Engineering (CEEC),30-Jan-17,2016,In this study it is introduced that the structure behind a random data structure called Bloom filter is applied to a routing scheme in a hexagonal grid in two dimensional case. The Bloom filter is a method to store the data in a very space efficiency and processing simplicity. We construct the Bloom filters for a complicated routing structure in a hexagonal mesh. It is aimed to obtain a fastest scheme without errors. A coding structure for the edges is developed to increase the efficiency use of network resources.,"[Bloom filter, computer network, routing]","[Routing, Encoding, Standards, Computer science, Computer networks, Servers, Receivers]","[computer networks, data structures, telecommunication network routing]",30-Jan-17,IEEE
Optimization of the computer network work based on adaptive management of node equipment,"I. Droniuk,  O. Fedevych,  I. Maslanych","Department of Automated Control Systems ICSIT, LPNU, Lviv, Ukraine,  Department of Automated Control Systems ICSIT, LPNU, Lviv, Ukraine,  Department of Applied Linguistics ICSIT, LPNU, Lviv, Ukraine",2017 12th International Scientific and Technical Conference on Computer Sciences and Information Technologies (CSIT),09-Nov-17,2017,This article deals with developed device for adaptive management of traffic flow. It is shown that due to the use of the proposed adaptive management method average coefficient efficiency of node equipment in the transmission of packets increased by 10-12 %. The experiments were illustrated by graphs.,"[traffic flow, computer network, simulation model, adaptive management of node equipment, efficiency coefficient of node equipment]","[Computer networks, Ports (Computers), Adaptive systems, Computational modeling, Forecasting, Adaptation models, Bandwidth]","[computer networks, graph theory, optimisation, quality of service, telecommunication network management]",09-Nov-17,IEEE
Modification of UCT Algorithm with Quiescent Search in Computer GO,"F. Xiao,  Z. Liu","BUPT-JD Institute of Computer GO, Beijing University of Posts and Telecommunications, Beijing, China,  BUPT-JD Institute of Computer GO, Beijing University of Posts and Telecommunications, Beijing, China",2010 International Conference on Technologies and Applications of Artificial Intelligence,20-Jan-11,2010,"The UCT algorithm has been widely used in computer GO with significant improvements since its publication in 2006. However, the UCT algorithm does not address the horizon effects in game tree search, which is an important issue in computer games and it is typically addressed through quiescent search. This paper proposes a modification of the UCT algorithm such that quiescent search can be integrated in the UCT algorithm and proposes several conditions to trigger quiescent search in computer GO. Experimental results show that our modification can increase the game tree search depth significantly and improve its winning rate against GNUGO.","[UCT algorithm, horizon effects, quiescent search, computer GO]","[Games, Search problems, Minimax techniques, Computers, Machine learning algorithms, Monte Carlo methods, Machine learning]","[computer games, game theory, tree searching]",20-Jan-11,IEEE
Using RFID to realize Human Computer Interaction,"L. L. Chen,  T. K. Shih,  J. C. Hung","Department of Computer Science and Information Engineering, Tamkang University, Taiwan,  Department of Computer Science and Information Engineering, Asia University, Taiwan,  Department of Information Management, Overseas Chinese University, Taiwan",2009 Joint Conferences on Pervasive Computing (JCPC),25-Feb-10,2009,"This paper proposes a human computer interface which is based on Radio frequency identification (RFID) technique to let human communicate with computer by analyzing the signal from tags. For retrieving those signals from tags, how to decreasing the noises created by surrounding environment and detecting useful information from variant signals are the most important. In our proposed method, we adopt a train procedure as pre-processing to categorize all of signals into two categories: noise and real data. After the real data is retrieved, we use ¿music director¿ as an application to let user play with computer. The experimental results show the proposed method can analyze the signals from tags successfully with high detection rate.","[RFID, Human Computer Interface, Received Signal Strength Indication]","[Radiofrequency identification, Human computer interaction, Psychology, Medical tests, System testing, Fuzzy systems, Medical services, Biomedical informatics, Psychiatry, Mood]","[human computer interaction, information retrieval, radiofrequency identification]",25-Feb-10,IEEE
